ranking,movieTitle,movieYear,rating,movieLength,runtime,genre,releaseDate,summary
1,The Shawshank Redemption,1994,9.3,2h 22min,142,Drama,14-Oct-94,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
2,The Godfather,1972,9.2,2h 55min,175,"Crime,Drama",24-Mar-72,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
3,The Godfather: Part II,1974,9,3h 22min,202,"Crime,Drama",18-Dec-74,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
4,The Dark Knight,2008,9,2h 32min,152,"Action,Crime,Drama",18-Jul-08,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
5,12 Angry Men,1957,9,1h 36min,96,"Crime,Drama",10-Apr-57,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
6,Schindler's List,1993,8.9,3h 15min,195,"Biography,Drama,History",04-Feb-94,"In German-occupied Poland during World War II, industrialistOskar Schindlergradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
7,The Lord of the Rings: The Return of the King,2003,8.9,3h 21min,201,"Action,Adventure,Drama",17-Dec-03,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
8,Pulp Fiction,1994,8.9,2h 34min,154,"Crime,Drama",14-Oct-94,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,"The Good, the Bad and the Ugly",1966,8.8,2h 58min,161,Western,29-Dec-67,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,2h 58min,178,"Action,Adventure,Drama",19-Dec-01,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
11,Fight Club,1999,8.8,2h 19min,139,Drama,15-Oct-99,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
12,Forrest Gump,1994,8.8,2h 22min,142,"Drama,Romance",06-Jul-94,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
